,Projekt,Uživatel,Aktivita,Úkol,Hodiny,Refundace,Datum
192,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #429: Zasedání zastupitelstva,10.0,a) účast na zasedání Zastupitelstva,2016-10-20
220,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,"Dlouhodobý úkol #716: Výbor pro legislativu, veřejnou správu, protikorupční opatření a informatiku",1.75,c) účast na jednání výborů Zastupitelstva,2016-10-19
260,analytický tým,Jakub Michálek,Příprava dokumentu,Úkol #4111: Krajské volby - analýza výsledků,2.0,,2016-10-18
261,parlamentní tým,Jakub Michálek,Schůzky,Dlouhodobý úkol #3454: Asistence senátoru Liboru Michálkovi (asistent senátora Vít Šimral),2.25,,2016-10-18
262,zastupitelstvo hl. m. Prahy,Jakub Michálek,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.33,,2016-10-18
263,zastupitelstvo hl. m. Prahy,Jakub Michálek,Fyzické práce,Dlouhodobý úkol #299: Úklid a údržba kanceláře,2.5,,2016-10-18
264,zastupitelstvo hl. m. Prahy,Jakub Michálek,Administrativa,Dlouhodobý úkol #914: Vykazování úkolů,1.75,,2016-10-18
296,zastupitelstvo hl. m. Prahy,Jakub Michálek,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.75,,2016-10-17
297,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #2590: Jednání klubu 2016,2.25,,2016-10-17
316,parlamentní tým,Jakub Michálek,Příprava dokumentu,Úkol #2607: Autorský zákon - velká novela 2016,5.0,,2016-10-16
326,zastupitelstvo hl. m. Prahy,Jakub Michálek,Příprava dokumentu,Dlouhodobý úkol #693: Sebevzdělávání,1.0,,2016-10-14
327,republikové předsednictvo,Jakub Michálek,Příprava dokumentu,Dlouhodobý úkol #4089: Schvalování výdajů odborů nad 5000 Kč,1.25,,2016-10-14
328,parlamentní tým,Jakub Michálek,Diskuse,Úkol #2607: Autorský zákon - velká novela 2016,0.75,,2016-10-14
329,parlamentní tým,Jakub Michálek,Schůzky,Úkol #2619: Ustavit senátorský klub,2.0,,2016-10-14
359,zastupitelstvo hl. m. Prahy,Jakub Michálek,Jednání,Dlouhodobý úkol #806: Výbor pro územní rozvoj a územní plán,1.0,c) účast na jednání výborů Zastupitelstva,2016-10-13
386,administrativní odbor,Jakub Michálek,Příprava dokumentu,Úkol #3383: Organizační řád a zjednodušení vnitřních předpisů,1.0,,2016-10-12
387,republikové předsednictvo,Jakub Michálek,Školení a sebevzdělávání,Dlouhodobý úkol #4081: Vedení kanceláře,1.75,,2016-10-12
388,zastupitelstvo hl. m. Prahy,Jakub Michálek,E-mail,Dlouhodobý úkol #597: E-mailová komunikace,0.5,,2016-10-12
